word1,word2,similarity_out_of_7,similarity
journal,squirrel,1,0.0
rusty,tears,1,0.0
hill,shore,4,5.0
lily,petals,6,8.333333333333334
ancient,pod,2,1.6666666666666667
posted,view,2,1.6666666666666667
jacket,stream,1,0.0
car,motor,5,6.666666666666667
downtown,skyscraper,4,5.0
aircraft,guy,2,1.6666666666666667
hotel,oak,1,0.0
lily,tulip,6,8.333333333333334
flight,plane,7,10.0
belly,field,1,0.0
smoke,smoking,7,10.0
snow,snowman,6,8.333333333333334
building,sidewalk,4,5.0
punk,skyscraper,1,0.0
birds,shade,1,0.0
diner,sushi,5,6.666666666666667
fishing,sailing,5,6.666666666666667
day,morning,5,6.666666666666667
hot,winter,4,5.0
floor,roof,5,6.666666666666667
evening,surfers,1,0.0
bucket,insects,2,1.6666666666666667
flight,jaguar,1,0.0
friends,rusty,1,0.0
cloud,sunlight,5,6.666666666666667
carrots,potatoes,5,6.666666666666667
dye,kiss,2,1.6666666666666667
day,weather,4,5.0
gull,reptiles,5,6.666666666666667
stairs,staircase,7,10.0
book,written,6,8.333333333333334
cherry,vine,4,5.0
car,pigs,1,0.0
bread,cooking,5,6.666666666666667
dripping,hot,5,6.666666666666667
chocolate,jellyfish,1,0.0
boys,school,5,6.666666666666667
female,makeup,5,6.666666666666667
eyes,face,6,8.333333333333334
dessert,eyes,1,0.0
chair,words,1,0.0
autumn,frost,4,5.0
children,fun,4,5.0
feet,friends,1,0.0
shade,sun,4,5.0
frozen,salad,1,0.0
aircraft,flight,6,8.333333333333334
bacon,view,1,0.0
hanging,rusty,1,0.0
tree,twigs,6,8.333333333333334
cold,puddle,4,5.0
escalator,station,5,6.666666666666667
floor,marble,1,0.0
born,living,6,8.333333333333334
curve,outdoor,2,1.6666666666666667
dark,purple,5,6.666666666666667
dragon,metal,1,0.0
painted,sing,2,1.6666666666666667
cafe,pub,7,10.0
fungi,mushrooms,7,10.0
seed,stairs,1,0.0
dropped,rusty,1,0.0
colorful,wood,3,3.3333333333333335
tea,whiskers,5,6.666666666666667
bright,sunny,7,10.0
bracelet,jewelry,6,8.333333333333334
music,musicians,6,8.333333333333334
carrots,city,1,0.0
violet,yellow,6,8.333333333333334
family,red,1,0.0
fruit,meat,4,5.0
dessert,salad,5,6.666666666666667
dead,guy,2,1.6666666666666667
ink,organ,1,0.0
tunnel,underground,6,8.333333333333334
bloom,buds,6,8.333333333333334
cute,fashion,6,8.333333333333334
railway,train,7,10.0
lake,valley,5,6.666666666666667
cheetah,soup,1,0.0
old,seat,1,0.0
mist,sunlight,2,1.6666666666666667
airplane,guitar,1,0.0
daffodils,wool,2,1.6666666666666667
bride,dress,6,8.333333333333334
birds,feathers,6,8.333333333333334
baseball,hockey,6,8.333333333333334
ceiling,patio,5,6.666666666666667
porch,pug,1,0.0
sailing,ship,6,8.333333333333334
race,square,2,1.6666666666666667
feathers,hawk,4,5.0
blonde,hair,6,8.333333333333334
school,tears,1,0.0
concrete,floor,2,1.6666666666666667
dude,smile,2,1.6666666666666667
hot,washing,3,3.3333333333333335
frozen,shop,1,0.0
collage,painting,6,8.333333333333334
hummingbird,stork,2,1.6666666666666667
ceiling,roof,5,6.666666666666667
boat,sunk,6,8.333333333333334
leather,swan,1,0.0
ice,sheep,3,3.3333333333333335
room,staircase,4,5.0
family,female,3,3.3333333333333335
flight,whiskers,1,0.0
construction,sailing,2,1.6666666666666667
rice,tickets,1,0.0
pin,wing,1,0.0
decoration,wood,3,3.3333333333333335
feathers,peacock,5,6.666666666666667
marble,statue,6,8.333333333333334
explosion,stencil,1,0.0
club,cone,1,0.0
handwriting,pigs,1,0.0
bar,pub,7,10.0
field,skyscraper,5,6.666666666666667
mammals,monkeys,6,8.333333333333334
beach,pebbles,6,8.333333333333334
musicians,rock,6,8.333333333333334
musicians,piano,6,8.333333333333334
day,time,5,6.666666666666667
rock,sing,6,8.333333333333334
sunny,sunshine,7,10.0
outfit,played,2,1.6666666666666667
born,subway,1,0.0
orange,pink,6,8.333333333333334
beach,coast,6,8.333333333333334
chocolate,rock,1,0.0
foliage,violet,5,6.666666666666667
noodles,soup,5,6.666666666666667
coffee,room,2,1.6666666666666667
decoration,lighting,4,5.0
purple,white,6,8.333333333333334
bed,candy,1,0.0
cliff,coast,6,8.333333333333334
makeup,people,2,1.6666666666666667
small,village,4,5.0
downtown,urban,6,8.333333333333334
fish,leg,1,0.0
female,machine,1,0.0
bar,stairs,4,5.0
aircraft,flying,6,8.333333333333334
hummingbird,nest,5,6.666666666666667
dripping,puddle,4,5.0
colour,wild,2,1.6666666666666667
amphibians,reptiles,6,8.333333333333334
bathroom,room,6,8.333333333333334
ceiling,floor,6,8.333333333333334
dinner,room,4,5.0
school,traffic,3,3.3333333333333335
feathers,flamingo,5,6.666666666666667
dusk,morning,6,8.333333333333334
breakfast,night,4,5.0
grave,hat,1,0.0
bride,photographer,3,3.3333333333333335
sunny,weather,6,8.333333333333334
man,stand,3,3.3333333333333335
mammals,rodents,5,6.666666666666667
cute,idea,4,5.0
bay,porch,3,3.3333333333333335
airplane,camera,1,0.0
dark,pink,5,6.666666666666667
ivy,wall,1,0.0
key,palace,2,1.6666666666666667
cocktail,garage,1,0.0
red,stripes,4,5.0
aircraft,asphalt,2,1.6666666666666667
baseball,rainbow,1,0.0
animals,hand,1,0.0
postcards,texture,2,1.6666666666666667
interior,patio,3,3.3333333333333335
porch,roof,5,6.666666666666667
dude,happy,2,1.6666666666666667
plant,skate,1,0.0
cafe,restaurant,5,6.666666666666667
cute,twigs,1,0.0
parade,table,1,0.0
dripping,water,6,8.333333333333334
sun,sunny,6,8.333333333333334
skating,stickers,2,1.6666666666666667
blue,fabric,1,0.0
night,sitting,2,1.6666666666666667
bright,foliage,1,0.0
cigarette,living,1,0.0
splash,swim,5,6.666666666666667
boys,hand,1,0.0
building,concrete,4,5.0
licking,sitting,1,0.0
cat,kittens,6,8.333333333333334
couple,female,3,3.3333333333333335
birds,dragonfly,4,5.0
brick,staircase,4,5.0
evening,fun,4,5.0
dawn,sunny,1,0.0
daffodils,flowers,6,8.333333333333334
dawn,misty,1,0.0
amphibians,lizard,6,8.333333333333334
candles,line,1,0.0
dragon,dropped,1,0.0
grass,lawn,6,8.333333333333334
abstract,rose,1,0.0
morning,tears,2,1.6666666666666667
chess,cigarette,2,1.6666666666666667
bikini,swimsuit,7,10.0
bedroom,breakfast,4,5.0
green,red,6,8.333333333333334
hawk,wild,3,3.3333333333333335
dragon,oak,1,0.0
motor,vehicle,6,8.333333333333334
dirty,rusty,6,8.333333333333334
apple,blossom,4,5.0
line,subway,4,5.0
bath,kitchen,4,5.0
dirty,dude,1,0.0
door,floor,5,6.666666666666667
dawn,dusk,1,0.0
clothes,dress,7,10.0
dragonfly,wine,1,0.0
brick,roof,5,6.666666666666667
birds,nest,5,6.666666666666667
breakfast,makeup,2,1.6666666666666667
jump,stitches,1,0.0
clothes,sexy,4,5.0
bedroom,canyon,1,0.0
pregnancy,sitting,3,3.3333333333333335
restaurant,violet,1,0.0
dripping,rust,3,3.3333333333333335
bath,floor,4,5.0
flight,rain,2,1.6666666666666667
cross,pub,2,1.6666666666666667
kitchen,washing,5,6.666666666666667
haircut,smile,1,0.0
bright,sunlight,6,8.333333333333334
horse,work,2,1.6666666666666667
flowers,spring,6,8.333333333333334
car,vehicle,6,8.333333333333334
feel,sleep,1,0.0
burn,ripples,1,0.0
hat,outfit,5,6.666666666666667
kiss,stop,1,0.0
frog,subway,1,0.0
hill,valley,4,5.0
camel,highway,1,0.0
camera,painting,3,3.3333333333333335
happy,posted,1,0.0
daisy,petals,6,8.333333333333334
beach,swimming,6,8.333333333333334
lunch,tea,4,5.0
dawn,spring,1,0.0
cathedral,step,1,0.0
rope,shore,2,1.6666666666666667
feline,paws,6,8.333333333333334
animals,giraffe,6,8.333333333333334
mammals,reptiles,6,8.333333333333334
floor,kitchen,6,8.333333333333334
chess,toys,5,6.666666666666667
band,punk,6,8.333333333333334
crystal,silhouette,1,0.0
dark,red,5,6.666666666666667
skirt,white,4,5.0
amphibians,berry,1,0.0
couple,square,1,0.0
cold,washing,3,3.3333333333333335
auto,santa,1,0.0
bright,dark,6,8.333333333333334
construction,demolition,6,8.333333333333334
reptiles,snake,6,8.333333333333334
cactus,porch,1,0.0
garden,pumpkin,3,3.3333333333333335
lake,scenery,3,3.3333333333333335
jean,shirt,4,5.0
button,grey,2,1.6666666666666667
restaurant,shopping,4,5.0
hockey,signed,1,0.0
angel,gasoline,1,0.0
gun,picture,2,1.6666666666666667
cathedral,church,7,10.0
fun,tears,3,3.3333333333333335
roof,staircase,4,5.0
interior,roof,4,5.0
mountain,sea,5,6.666666666666667
born,boxer,1,0.0
race,racing,7,10.0
ruins,valley,2,1.6666666666666667
door,staircase,4,5.0
evening,sunshine,2,1.6666666666666667
grass,weed,7,10.0
dolls,new,1,0.0
bright,colour,5,6.666666666666667
goose,outfit,1,0.0
glittering,gold,6,8.333333333333334
storm,sweet,1,0.0
auto,quote,1,0.0
deer,elephant,6,8.333333333333334
people,stairs,3,3.3333333333333335
ripples,wave,7,10.0
black,brown,6,8.333333333333334
dawn,night,1,0.0
concrete,construction,4,5.0
hawk,hummingbird,6,8.333333333333334
relaxed,scenery,3,3.3333333333333335
shore,water,6,8.333333333333334
guy,kiss,2,1.6666666666666667
parade,store,2,1.6666666666666667
breakfast,morning,6,8.333333333333334
foliage,petals,6,8.333333333333334
petals,plant,6,8.333333333333334
apartment,beach,1,0.0
dress,shirt,6,8.333333333333334
bay,beach,6,8.333333333333334
boys,living,2,1.6666666666666667
eat,strawberry,4,5.0
guy,poodle,1,0.0
autumn,daffodils,1,0.0
orchids,patio,1,0.0
insects,reptiles,5,6.666666666666667
architecture,table,3,3.3333333333333335
office,table,5,6.666666666666667
hill,town,4,5.0
sunshine,weather,5,6.666666666666667
baseball,game,6,8.333333333333334
music,rock,6,8.333333333333334
flight,museum,1,0.0
happy,tears,5,6.666666666666667
dark,shade,6,8.333333333333334
hill,rust,1,0.0
jellyfish,punk,1,0.0
bacon,potatoes,5,6.666666666666667
grave,number,3,3.3333333333333335
berry,twigs,3,3.3333333333333335
feel,friends,3,3.3333333333333335
bar,relaxed,4,5.0
bicycle,handwriting,1,0.0
red,uniform,4,5.0
bloom,glittering,3,3.3333333333333335
jump,swimming,3,3.3333333333333335
band,rock,6,8.333333333333334
feathers,nest,5,6.666666666666667
floor,porch,4,5.0
colour,grey,6,8.333333333333334
city,family,2,1.6666666666666667
dog,poodle,6,8.333333333333334
ink,tropical,1,0.0
cherry,raspberry,6,8.333333333333334
crystal,dirt,5,6.666666666666667
arms,television,1,0.0
old,town,3,3.3333333333333335
band,ear,2,1.6666666666666667
cooking,restaurant,6,8.333333333333334
family,males,1,0.0
lighting,small,1,0.0
lighthouse,wall,1,0.0
face,stand,1,0.0
circle,sports,1,0.0
interior,tower,3,3.3333333333333335
cute,friends,3,3.3333333333333335
chapel,graveyard,6,8.333333333333334
daffodils,plant,6,8.333333333333334
mural,painted,6,8.333333333333334
market,sushi,3,3.3333333333333335
feet,toes,6,8.333333333333334
makeup,race,1,0.0
dawn,drug,1,0.0
red,yellow,6,8.333333333333334
night,sunny,4,5.0
shirt,white,5,6.666666666666667
redhead,reflection,3,3.3333333333333335
feel,sitting,1,0.0
can,sketch,1,0.0
birthday,happy,4,5.0
blurred,metro,2,1.6666666666666667
green,lantern,3,3.3333333333333335
pink,yellow,6,8.333333333333334
cute,sitting,1,0.0
theatre,wolf,1,0.0
insects,stork,3,3.3333333333333335
church,soldiers,2,1.6666666666666667
snow,winter,6,8.333333333333334
pink,shade,3,3.3333333333333335
band,guitar,5,6.666666666666667
bath,bed,4,5.0
airplane,flight,6,8.333333333333334
dirty,dripping,2,1.6666666666666667
gold,texture,2,1.6666666666666667
shadow,sunlight,5,6.666666666666667
moon,sky,6,8.333333333333334
drive,lego,1,0.0
fruit,peel,6,8.333333333333334
colour,shade,5,6.666666666666667
bed,breakfast,4,5.0
summer,weather,3,3.3333333333333335
swim,vehicle,1,0.0
light,lighting,7,10.0
fungi,insects,4,5.0
paws,protest,1,0.0
brown,white,6,8.333333333333334
guitar,nude,1,0.0
caterpillars,painted,1,0.0
snake,taxi,1,0.0
flamingo,office,1,0.0
apartment,floor,4,5.0
cross,posted,1,0.0
face,tears,5,6.666666666666667
children,mother,5,6.666666666666667
hawk,mammals,3,3.3333333333333335
cafe,lunch,5,6.666666666666667
exhibition,work,4,5.0
duck,goose,6,8.333333333333334
bright,rusty,2,1.6666666666666667
music,track,5,6.666666666666667
boxer,pyramid,1,0.0
festival,whiskers,1,0.0
cold,sunshine,4,5.0
clown,flood,1,0.0
black,painted,4,5.0
morning,weather,3,3.3333333333333335
daffodils,tulip,6,8.333333333333334
party,sunk,1,0.0
beads,redhead,1,0.0
guitar,keyboard,3,3.3333333333333335
dark,violet,5,6.666666666666667
shed,traffic,1,0.0
sunshine,wet,3,3.3333333333333335
bloom,twigs,6,8.333333333333334
dude,feel,2,1.6666666666666667
mom,stop,1,0.0
purple,shade,4,5.0
husky,match,1,0.0
ceramic,church,2,1.6666666666666667
painting,work,4,5.0
goats,milk,6,8.333333333333334
street,town,5,6.666666666666667
fruit,nuts,6,8.333333333333334
sky,sunny,6,8.333333333333334
coast,sailing,6,8.333333333333334
garden,smoke,1,0.0
blue,yellow,6,8.333333333333334
eat,frozen,2,1.6666666666666667
lingerie,sexy,6,8.333333333333334
kittens,rain,1,0.0
coast,harbor,6,8.333333333333334
clothes,transformers,2,1.6666666666666667
lighting,sleep,2,1.6666666666666667
buds,petals,6,8.333333333333334
match,moss,1,0.0
photographer,portrait,4,5.0
bedroom,sleep,6,8.333333333333334
panorama,scenery,7,10.0
burger,food,5,6.666666666666667
bloom,purple,5,6.666666666666667
lighting,stone,2,1.6666666666666667
strawberry,tomato,4,5.0
cold,hot,6,8.333333333333334
storm,tropical,4,5.0
beef,lamb,6,8.333333333333334
brown,feathers,3,3.3333333333333335
hanging,stencil,1,0.0
memorial,people,2,1.6666666666666667
orange,wet,2,1.6666666666666667
concrete,interior,3,3.3333333333333335
jacket,jean,5,6.666666666666667
forest,hummingbird,4,5.0
highway,squirrel,1,0.0
tea,village,1,0.0
noodles,rice,6,8.333333333333334
amphibians,brown,2,1.6666666666666667
handle,shop,2,1.6666666666666667
church,graveyard,6,8.333333333333334
blue,pink,6,8.333333333333334
daffodils,rose,6,8.333333333333334
glittering,sunshine,5,6.666666666666667
plant,seed,6,8.333333333333334
building,zombie,1,0.0
coast,scenery,4,5.0
harbor,ship,6,8.333333333333334
gun,stairs,1,0.0
hummingbird,mammals,4,5.0
coast,shore,6,8.333333333333334
noodles,pigeon,2,1.6666666666666667
canal,silhouette,1,0.0
gravestone,graveyard,6,8.333333333333334
door,porch,5,6.666666666666667
hill,scenery,4,5.0
metro,station,6,8.333333333333334
chicken,pepper,4,5.0
downtown,ruins,2,1.6666666666666667
misty,sunshine,1,0.0
bathroom,garden,2,1.6666666666666667
berry,blossom,4,5.0
ivy,oak,5,6.666666666666667
metro,train,7,10.0
daffodils,spring,5,6.666666666666667
dirty,happy,1,0.0
hockey,sports,6,8.333333333333334
bed,floor,4,5.0
metal,punk,3,3.3333333333333335
auto,bright,2,1.6666666666666667
valley,waterfall,5,6.666666666666667
crochet,family,3,3.3333333333333335
dandelion,foliage,5,6.666666666666667
morning,relaxed,2,1.6666666666666667
cottage,sleep,3,3.3333333333333335
feline,kittens,7,10.0
boxer,diner,2,1.6666666666666667
pepper,sunflower,4,5.0
building,floor,5,6.666666666666667
flame,words,1,0.0
pregnant,round,4,5.0
number,web,2,1.6666666666666667
aerial,violet,1,0.0
ceiling,door,4,5.0
shop,summer,1,0.0
feathers,hummingbird,5,6.666666666666667
lantern,oak,1,0.0
dragon,furniture,1,0.0
black,cigarette,3,3.3333333333333335
lawn,sleep,2,1.6666666666666667
apartment,staircase,3,3.3333333333333335
sunrise,sunset,6,8.333333333333334
dude,kids,6,8.333333333333334
military,soldiers,7,10.0
giraffe,mist,1,0.0
misty,weather,1,0.0
potatoes,sweet,4,5.0
daughter,graphic,1,0.0
mammals,pelican,4,5.0
flame,sidewalk,1,0.0
cafe,lizard,1,0.0
photographer,photography,6,8.333333333333334
dinner,restaurant,6,8.333333333333334
apartment,patio,5,6.666666666666667
mother,pregnant,5,6.666666666666667
shopping,store,7,10.0
movie,shopping,2,1.6666666666666667
seed,sunflower,5,6.666666666666667
rail,subway,6,8.333333333333334
track,yellow,3,3.3333333333333335
blossom,buds,7,10.0
buds,purple,6,8.333333333333334
day,dusk,1,0.0
mallard,poster,1,0.0
pepper,soup,4,5.0
lady,stop,1,0.0
bath,panorama,1,0.0
van,vehicle,6,8.333333333333334
cliff,sand,6,8.333333333333334
green,grey,6,8.333333333333334
bread,potatoes,5,6.666666666666667
gravestone,pattern,1,0.0
cat,garden,4,5.0
map,travel,6,8.333333333333334
book,copper,1,0.0
bath,sleep,4,5.0
bright,pink,4,5.0
branch,lego,2,1.6666666666666667
building,roof,5,6.666666666666667
signed,stockings,1,0.0
carrots,pepper,4,5.0
painted,painting,7,10.0
footprint,scooter,2,1.6666666666666667
dead,face,1,0.0
bathroom,dude,2,1.6666666666666667
demolition,tall,2,1.6666666666666667
frost,shade,1,0.0
misty,sunny,1,0.0
sky,sun,6,8.333333333333334
fish,rocket,2,1.6666666666666667
bar,diner,4,5.0
feline,pumpkin,1,0.0
oak,tree,6,8.333333333333334
played,sailing,3,3.3333333333333335
sea,water,6,8.333333333333334
frost,spring,2,1.6666666666666667
guitar,track,4,5.0
architecture,design,6,8.333333333333334
black,dark,7,10.0
insects,mom,1,0.0
blossom,violet,5,6.666666666666667
outfit,socks,4,5.0
friends,happy,4,5.0
snow,sunshine,3,3.3333333333333335
bright,star,6,8.333333333333334
feline,reptiles,4,5.0
pool,relaxed,4,5.0
daisy,purple,5,6.666666666666667
fabric,wool,2,1.6666666666666667
cafe,dinner,4,5.0
flamingo,stork,6,8.333333333333334
bike,rally,3,3.3333333333333335
blurred,eyes,5,6.666666666666667
smile,view,1,0.0
metro,television,1,0.0
concrete,pin,3,3.3333333333333335
abandoned,soldiers,2,1.6666666666666667
hair,haircut,7,10.0
bay,swim,5,6.666666666666667
dew,frost,5,6.666666666666667
leaf,moon,1,0.0
daisy,foliage,5,6.666666666666667
angel,construction,1,0.0
dirt,racing,2,1.6666666666666667
bench,sitting,6,8.333333333333334
guitar,sing,5,6.666666666666667
hummingbird,pelican,6,8.333333333333334
city,living,3,3.3333333333333335
breakfast,restaurant,4,5.0
feathers,pelican,5,6.666666666666667
berry,cherry,6,8.333333333333334
hot,weather,4,5.0
concert,music,6,8.333333333333334
gun,quote,1,0.0
cake,christmas,5,6.666666666666667
apartment,kitchen,4,5.0
patio,sitting,3,3.3333333333333335
black,paws,5,6.666666666666667
bed,ceiling,3,3.3333333333333335
sports,swimming,6,8.333333333333334
festival,gate,1,0.0
ceramic,tiles,4,5.0
meat,potatoes,5,6.666666666666667
copper,metal,6,8.333333333333334
bathroom,stairs,4,5.0
jacket,leather,5,6.666666666666667
chapel,porch,6,8.333333333333334
cat,feline,7,10.0
feel,happy,5,6.666666666666667
canine,poodle,6,8.333333333333334
angel,asphalt,1,0.0
cafe,diner,4,5.0
marble,postcards,1,0.0
mom,smile,2,1.6666666666666667
lady,sunset,1,0.0
flamingo,insects,3,3.3333333333333335
dark,stripes,4,5.0
glittering,star,6,8.333333333333334
blurred,lens,6,8.333333333333334
dusk,skirt,1,0.0
canine,pug,6,8.333333333333334
goose,wolf,4,5.0
blue,colour,6,8.333333333333334
concert,piano,6,8.333333333333334
mammals,yellow,1,0.0
garden,lawn,7,10.0
bed,sitting,4,5.0
cake,chocolate,6,8.333333333333334
pool,splash,6,8.333333333333334
bacon,meat,6,8.333333333333334
action,dress,2,1.6666666666666667
dusk,misty,1,0.0
cute,posted,1,0.0
graveyard,silver,1,0.0
cottage,patio,5,6.666666666666667
flamingo,pelican,7,10.0
goats,sheep,7,10.0
floor,interior,4,5.0
girls,wind,1,0.0
rail,train,6,8.333333333333334
gun,jaguar,1,0.0
cop,ruins,1,0.0
brick,ceiling,4,5.0
birds,gull,6,8.333333333333334
arms,outdoor,1,0.0
shirt,skirt,5,6.666666666666667
desert,smoke,1,0.0
train,underground,5,6.666666666666667
blonde,curled,5,6.666666666666667
skull,storm,1,0.0
abandoned,frost,3,3.3333333333333335
air,cold,5,6.666666666666667
bag,dude,3,3.3333333333333335
foliage,plant,6,8.333333333333334
rain,wind,5,6.666666666666667
dead,pigeon,2,1.6666666666666667
left,smile,1,0.0
music,piano,6,8.333333333333334
chain,engine,2,1.6666666666666667
metro,subway,6,8.333333333333334
fun,sexy,3,3.3333333333333335
cross,outfit,1,0.0
canal,coffee,1,0.0
beef,meat,6,8.333333333333334
hill,mountain,6,8.333333333333334
pattern,time,3,3.3333333333333335
beef,downtown,1,0.0
born,played,1,0.0
petals,purple,4,5.0
guy,happy,2,1.6666666666666667
bedroom,pool,2,1.6666666666666667
roof,wall,5,6.666666666666667
lego,weather,1,0.0
automobile,parking,5,6.666666666666667
hockey,ice,6,8.333333333333334
dark,flamingo,1,0.0
dusk,gull,1,0.0
rusty,stand,1,0.0
dog,terrier,6,8.333333333333334
