word1,word2,similarity,which_set?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
wood,forest,7.730000019073486,set1,9.0,6.0,9.5,7.0,5.0,9.0,9.0,9.0,6.0,8.0,9.0,8.0,6.0,,,
money,cash,9.149999618530273,set1,10.0,9.5,9.5,10.0,8.0,9.0,9.5,10.0,7.0,10.0,8.5,9.0,9.0,,,
professor,cucumber,0.3100000023841858,set1,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
king,cabbage,0.23000000417232513,set1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
king,queen,8.579999923706055,set1,9.0,9.5,9.5,10.0,7.0,8.0,8.5,9.0,8.0,8.0,8.0,8.0,9.0,,,
king,rook,5.920000076293945,set1,7.0,7.5,7.0,6.0,7.0,8.0,8.5,0.0,8.0,0.0,6.0,5.0,7.0,,,
bishop,rabbi,6.690000057220459,set1,7.0,7.5,8.5,2.0,5.0,7.0,9.0,7.0,8.0,7.0,6.0,7.0,6.0,,,
Jerusalem,Israel,8.460000038146973,set1,9.0,8.0,9.5,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.5,7.0,9.0,,,
Jerusalem,Palestinian,7.650000095367432,set1,9.0,8.0,9.0,8.0,4.0,8.0,8.0,7.0,9.0,8.0,9.5,5.0,7.0,,,
holy,sex,1.6200000047683716,set1,3.0,0.0,5.0,2.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,,,
fuck,sex,9.4399995803833,set1,10.0,9.75,10.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,,,
Maradona,football,8.619999885559082,set1,9.0,9.0,9.5,10.0,7.0,9.0,8.5,8.0,9.0,10.0,9.0,6.0,8.0,,,
football,soccer,9.029999732971191,set1,9.0,9.899999618530273,9.0,10.0,8.0,7.0,9.5,10.0,8.0,10.0,9.0,9.0,9.0,,,
football,basketball,6.809999942779541,set1,8.0,7.5,8.5,3.0,3.0,8.0,8.0,6.0,7.5,8.0,7.0,6.0,8.0,,,
football,tennis,6.630000114440918,set1,7.0,7.25,8.5,3.0,3.0,7.0,8.0,6.0,7.5,8.0,7.0,6.0,8.0,,,
tennis,racket,7.559999942779541,set1,4.0,8.0,9.5,9.0,4.0,9.0,7.5,8.0,7.800000190734863,8.0,8.5,6.0,9.0,,,
Arafat,peace,6.730000019073486,set1,8.0,8.0,9.5,9.0,2.0,8.0,7.0,7.0,7.0,5.0,7.0,4.0,6.0,,,
Arafat,terror,7.650000095367432,set1,8.0,8.0,9.5,9.0,5.0,9.0,7.0,7.0,8.0,10.0,8.0,4.0,7.0,,,
Arafat,Jackson,2.5,set1,4.0,7.5,0.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,6.0,2.0,2.0,,,
law,lawyer,8.380000114440918,set1,9.0,8.0,9.5,9.0,6.0,9.0,9.5,9.0,7.0,10.0,6.0,8.0,9.0,,,
movie,star,7.380000114440918,set1,9.0,8.0,9.5,8.0,6.0,9.0,7.0,8.0,7.0,5.0,6.5,5.0,8.0,,,
movie,popcorn,6.190000057220459,set1,7.0,6.0,9.0,4.0,5.0,7.0,8.0,9.0,6.0,4.0,6.5,2.0,7.0,,,
movie,critic,6.730000019073486,set1,8.0,7.5,9.5,9.0,6.0,8.0,7.5,8.0,5.0,4.0,5.0,3.0,7.0,,,
movie,theater,7.920000076293945,set1,8.0,8.0,9.5,9.0,6.0,8.0,8.5,7.0,7.0,10.0,6.0,7.0,9.0,,,
physics,proton,8.119999885559082,set1,9.0,8.5,9.0,10.0,6.0,8.0,8.5,8.0,7.0,8.0,9.5,5.0,9.0,,,
physics,chemistry,7.349999904632568,set1,8.0,8.5,9.0,8.0,5.0,7.0,8.0,7.0,8.0,7.0,7.0,4.0,9.0,,,
space,chemistry,4.880000114440918,set1,6.0,8.0,3.0,5.0,5.0,6.0,7.5,6.0,5.0,3.0,1.0,2.0,6.0,,,
alcohol,chemistry,5.539999961853027,set1,8.0,8.0,7.0,5.0,5.0,8.0,6.0,4.0,4.0,2.0,6.0,5.0,4.0,,,
vodka,gin,8.460000038146973,set1,9.0,9.5,9.0,10.0,7.0,8.0,8.5,9.0,8.0,10.0,6.0,8.0,8.0,,,
vodka,brandy,8.130000114440918,set1,9.0,9.25,9.0,7.0,7.0,8.0,8.5,9.0,8.0,10.0,6.0,7.0,8.0,,,
drink,car,3.0399999618530273,set1,7.0,0.5,0.0,2.0,2.0,7.0,5.0,5.0,4.0,0.0,2.0,0.0,5.0,,,
drink,ear,1.309999942779541,set1,3.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,,,
drink,mouth,5.960000038146973,set1,8.0,6.0,7.0,7.0,3.0,7.0,4.0,6.0,7.5,6.0,6.0,2.0,8.0,,,
drink,eat,6.869999885559082,set1,8.0,8.75,9.0,9.0,3.0,7.0,8.0,9.0,7.5,0.0,5.0,7.0,8.0,,,
baby,mother,7.849999904632568,set1,9.0,9.0,9.0,9.0,5.0,8.0,7.0,8.0,8.0,10.0,8.0,3.0,9.0,,,
drink,mother,2.6500000953674316,set1,3.0,1.0,1.0,3.0,3.0,7.0,0.0,2.0,6.5,0.0,4.0,1.0,3.0,,,
car,automobile,8.9399995803833,set1,9.0,9.75,10.0,10.0,5.0,6.0,10.0,10.0,7.5,10.0,10.0,10.0,9.0,,,
gem,jewel,8.960000038146973,set1,9.0,9.5,10.0,10.0,6.0,8.0,8.5,10.0,7.5,10.0,10.0,8.0,10.0,,,
journey,voyage,9.289999961853027,set1,9.0,9.75,10.0,10.0,6.0,7.0,9.5,10.0,9.5,10.0,10.0,10.0,10.0,,,
boy,lad,8.829999923706055,set1,9.0,9.75,10.0,10.0,6.0,5.0,9.5,9.0,7.5,10.0,10.0,9.0,10.0,,,
coast,shore,9.100000381469727,set1,9.0,9.75,10.0,10.0,6.0,6.0,10.0,8.0,9.5,10.0,10.0,10.0,10.0,,,
asylum,madhouse,8.869999885559082,set1,9.0,9.75,7.0,10.0,6.0,7.0,9.5,10.0,9.0,10.0,10.0,9.0,9.0,,,
magician,wizard,9.020000457763672,set1,9.0,9.75,10.0,10.0,7.0,6.0,9.0,8.0,8.5,10.0,10.0,10.0,10.0,,,
midday,noon,9.289999961853027,set1,10.0,9.75,9.0,10.0,7.0,6.0,9.5,10.0,9.5,10.0,10.0,10.0,10.0,,,
furnace,stove,8.789999961853027,set1,9.0,9.75,9.5,10.0,7.0,7.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,,,
food,fruit,7.519999980926514,set1,8.0,8.75,8.0,8.0,5.0,7.0,8.0,7.0,7.0,9.0,8.0,7.0,7.0,,,
bird,cock,7.099999904632568,set1,8.0,8.5,8.0,7.0,4.0,7.0,7.0,6.0,6.800000190734863,9.0,8.0,7.0,6.0,,,
bird,crane,7.380000114440918,set1,9.0,8.5,8.5,7.0,4.0,7.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,,,
tool,implement,6.460000038146973,set1,8.0,6.0,8.0,7.0,4.0,7.0,6.0,6.0,5.0,6.0,10.0,7.0,4.0,,,
brother,monk,6.269999980926514,set1,8.0,7.0,8.0,8.0,5.0,7.0,8.5,7.0,5.0,0.0,8.0,5.0,5.0,,,
crane,implement,2.690000057220459,set1,3.0,6.0,1.0,1.0,4.0,1.0,0.0,6.0,1.0,0.0,9.0,3.0,0.0,,,
lad,brother,4.460000038146973,set1,8.0,5.5,5.0,2.0,4.0,3.0,7.0,4.0,2.5,7.0,5.0,2.0,3.0,,,
journey,car,5.849999904632568,set1,7.0,7.0,7.0,6.0,4.0,6.0,6.0,7.0,5.0,5.0,5.0,4.0,7.0,,,
monk,oracle,5.0,set1,7.0,8.0,3.0,4.0,4.0,6.0,5.0,8.0,6.0,3.0,4.0,6.0,1.0,,,
cemetery,woodland,2.0799999237060547,set1,3.0,2.0,1.0,2.0,3.0,6.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,,,
food,rooster,4.420000076293945,set1,7.0,4.0,4.0,6.0,3.0,6.0,7.0,2.0,4.5,2.0,8.0,1.0,3.0,,,
coast,hill,4.380000114440918,set1,6.0,6.0,6.0,5.0,2.0,6.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,,,
forest,graveyard,1.850000023841858,set1,4.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,,,
shore,woodland,3.0799999237060547,set1,6.0,6.0,1.0,1.0,2.0,6.0,5.0,4.0,4.0,3.0,0.0,1.0,1.0,,,
monk,slave,0.9200000166893005,set1,3.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
coast,forest,3.1500000953674316,set1,6.0,6.0,1.0,1.0,2.0,6.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,,,
lad,wizard,0.9200000166893005,set1,4.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,
chord,smile,0.5400000214576721,set1,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
glass,magician,2.0799999237060547,set1,4.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,,,
noon,string,0.5400000214576721,set1,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
rooster,voyage,0.6200000047683716,set1,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,
money,dollar,8.420000076293945,set1,9.0,9.5,9.0,10.0,5.0,8.0,8.5,8.0,8.0,10.0,8.5,8.0,8.0,,,
money,cash,9.079999923706055,set1,10.0,9.5,9.5,10.0,5.0,9.0,9.5,10.0,8.0,10.0,8.5,9.0,10.0,,,
money,currency,9.039999961853027,set1,10.0,9.5,9.0,10.0,5.0,9.0,9.5,9.0,9.0,10.0,8.5,9.0,10.0,,,
money,wealth,8.270000457763672,set1,9.0,8.0,9.0,9.0,5.0,6.0,8.5,9.0,9.0,10.0,8.0,9.0,8.0,,,
money,property,7.570000171661377,set1,8.0,8.25,6.0,8.0,5.0,8.0,8.0,7.0,8.199999809265137,8.0,8.0,7.0,9.0,,,
money,possession,7.289999961853027,set1,8.0,8.25,7.0,7.0,5.0,7.0,7.5,5.0,9.0,7.0,8.0,7.0,9.0,,,
money,bank,8.5,set1,9.0,8.0,9.5,9.0,6.0,9.0,8.5,9.0,8.5,10.0,8.0,7.0,9.0,,,
money,deposit,7.730000019073486,set1,9.0,8.0,9.5,9.0,5.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,,,
money,withdrawal,6.880000114440918,set1,8.0,8.0,9.0,9.0,5.0,9.0,8.0,5.0,6.5,8.0,2.0,5.0,7.0,,,
money,laundering,5.650000095367432,set1,8.0,7.0,8.0,7.0,5.0,7.0,7.5,2.0,5.0,5.0,5.0,0.0,7.0,,,
money,operation,3.309999942779541,set1,4.0,2.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,3.0,5.0,1.0,2.0,,,
tiger,jaguar,8.0,set1,9.0,9.0,9.0,10.0,5.0,8.0,7.5,6.0,8.0,9.0,8.5,7.0,8.0,,,
tiger,feline,8.0,set1,9.0,7.5,9.5,8.0,5.0,8.0,8.5,8.0,8.0,9.0,8.5,7.0,8.0,,,
tiger,carnivore,7.079999923706055,set1,9.0,6.0,8.0,5.0,5.0,8.0,7.0,7.0,8.100000381469727,8.0,6.0,7.0,8.0,,,
tiger,mammal,6.849999904632568,set1,9.0,7.0,7.5,5.0,5.0,7.0,7.0,7.0,8.0,8.0,8.5,6.0,4.0,,,
tiger,animal,7.0,set1,8.0,7.0,7.5,5.0,5.0,6.0,6.0,7.0,7.5,9.0,10.0,5.0,8.0,,,
tiger,organism,4.769999980926514,set1,8.0,7.0,6.0,1.0,5.0,5.0,1.0,2.0,6.0,4.0,10.0,5.0,2.0,,,
tiger,fauna,5.619999885559082,set1,8.0,7.0,7.5,1.0,2.0,6.0,7.0,2.0,5.5,9.0,10.0,5.0,3.0,,,
tiger,zoo,5.869999885559082,set1,8.0,5.25,8.0,3.0,5.0,7.0,6.0,8.0,6.0,5.0,5.0,5.0,5.0,,,
psychology,psychiatry,8.079999923706055,set1,9.0,8.5,9.5,9.0,4.0,8.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,,,
psychology,anxiety,7.0,set1,7.0,7.0,8.5,4.0,5.0,8.0,5.0,7.0,8.0,8.0,8.5,7.0,8.0,,,
psychology,fear,6.849999904632568,set1,8.0,7.0,8.5,4.0,5.0,8.0,5.0,5.0,8.0,8.0,8.5,7.0,7.0,,,
psychology,depression,7.420000076293945,set1,9.0,8.0,9.0,5.0,5.0,8.0,5.0,7.0,8.0,8.0,8.5,7.0,9.0,,,
psychology,clinic,6.579999923706055,set1,8.0,8.0,9.5,5.0,4.0,9.0,7.0,6.0,6.0,7.0,6.0,4.0,6.0,,,
psychology,doctor,6.420000076293945,set1,9.0,8.0,9.0,5.0,5.0,8.0,7.5,6.0,5.0,5.0,7.0,4.0,5.0,,,
psychology,Freud,8.210000038146973,set1,9.0,9.25,9.5,10.0,5.0,8.0,8.0,9.0,7.5,9.0,8.5,7.0,7.0,,,
psychology,mind,7.690000057220459,set1,9.0,9.5,9.0,9.0,5.0,8.0,5.0,8.0,7.0,8.0,8.5,7.0,7.0,,,
psychology,health,7.230000019073486,set1,9.0,8.0,8.5,5.0,5.0,7.0,5.0,8.0,8.0,8.0,8.5,6.0,8.0,,,
psychology,science,6.710000038146973,set1,8.0,7.75,7.5,5.0,5.0,7.0,4.0,8.0,6.5,7.0,9.5,4.0,8.0,,,
psychology,discipline,5.579999923706055,set1,8.0,7.0,7.5,6.0,4.0,6.0,4.0,7.0,6.0,8.0,2.0,5.0,2.0,,,
psychology,cognition,7.480000019073486,set1,9.0,9.75,8.5,6.0,3.0,8.0,8.0,8.0,6.5,9.0,7.5,8.0,6.0,,,
planet,star,8.449999809265137,set1,9.0,9.899999618530273,10.0,10.0,5.0,8.0,8.5,9.0,8.0,9.0,8.5,7.0,8.0,,,
planet,constellation,8.0600004196167,set1,9.0,8.25,9.0,9.0,6.0,8.0,8.0,8.0,8.0,9.0,8.5,6.0,8.0,,,
planet,moon,8.079999923706055,set1,9.0,8.5,9.0,9.0,5.0,8.0,7.0,9.0,8.0,10.0,8.5,7.0,7.0,,,
planet,sun,8.020000457763672,set1,9.0,8.75,9.0,8.0,5.0,8.0,7.0,9.0,8.0,10.0,8.5,7.0,7.0,,,
planet,galaxy,8.109999656677246,set1,9.0,8.25,9.5,8.0,5.0,8.0,8.0,8.0,8.199999809265137,10.0,9.5,6.0,8.0,,,
planet,space,7.920000076293945,set1,9.0,8.0,9.5,6.0,5.0,8.0,7.0,8.0,8.0,10.0,9.5,6.0,9.0,,,
planet,astronomer,7.940000057220459,set1,9.0,8.25,9.5,8.0,5.0,8.0,7.0,7.0,8.0,10.0,7.5,7.0,9.0,,,
precedent,example,5.849999904632568,set1,6.0,8.5,9.5,10.0,3.0,7.0,6.0,8.0,1.0,1.0,9.0,2.0,5.0,,,
precedent,information,3.8499999046325684,set1,5.0,5.5,6.0,8.0,4.0,5.0,1.0,2.0,0.0,1.0,7.5,2.0,3.0,,,
precedent,cognition,2.809999942779541,set1,6.0,5.5,2.0,7.0,3.0,3.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,,,
precedent,law,6.650000095367432,set1,8.0,7.0,8.5,8.0,3.0,8.0,7.0,5.0,7.5,8.0,8.5,5.0,3.0,,,
precedent,collection,2.5,set1,7.0,5.5,1.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,,,
precedent,group,1.7699999809265137,set1,6.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,
precedent,antecedent,6.039999961853027,set1,9.5,0.0,9.5,9.0,4.0,7.0,7.5,7.0,8.0,7.0,5.0,3.0,2.0,,,
cup,coffee,6.579999923706055,set1,9.0,8.0,9.0,8.0,5.0,9.0,8.0,5.0,6.5,5.0,4.0,3.0,6.0,,,
cup,tableware,6.849999904632568,set1,7.0,8.5,8.0,9.0,5.0,7.0,7.0,4.0,5.0,9.0,8.5,5.0,6.0,,,
cup,article,2.4000000953674316,set1,1.0,8.25,6.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,,,
cup,artifact,2.9200000762939453,set1,7.0,8.0,1.0,2.0,4.0,0.0,2.0,1.0,5.0,3.0,4.0,0.0,1.0,,,
cup,object,3.690000057220459,set1,8.0,8.0,4.0,2.0,5.0,3.0,2.0,5.0,5.0,0.0,3.0,2.0,1.0,,,
cup,entity,2.1500000953674316,set1,3.0,6.0,3.0,1.0,4.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,,,
cup,drink,7.25,set1,9.0,7.75,9.0,8.0,4.0,8.0,6.0,8.0,8.0,6.0,7.5,6.0,7.0,,,
cup,food,5.0,set1,7.0,7.0,6.0,2.0,3.0,7.0,3.0,7.0,6.0,4.0,4.0,4.0,5.0,,,
cup,substance,1.9199999570846558,set1,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,,,
cup,liquid,5.900000095367432,set1,9.0,7.75,7.0,5.0,4.0,7.0,4.0,7.0,7.0,6.0,7.0,4.0,2.0,,,
jaguar,cat,7.420000076293945,set1,9.0,7.0,8.0,8.0,4.0,8.0,7.5,7.0,7.0,9.0,7.0,7.0,8.0,,,
jaguar,car,7.269999980926514,set1,9.0,9.0,8.5,8.0,4.0,8.0,7.0,7.0,8.0,9.0,4.0,5.0,8.0,,,
energy,secretary,1.809999942779541,set2,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,2.0,2.0
secretary,senate,5.059999942779541,set2,7.0,1.0,7.0,4.0,4.0,7.0,1.0,3.0,4.0,8.0,4.0,5.0,6.0,7.0,6.0,7.0
energy,laboratory,5.090000152587891,set2,7.0,1.0,7.5,4.0,6.0,7.0,4.0,6.0,1.0,2.0,4.0,3.0,7.0,9.0,6.0,7.0
computer,laboratory,6.78000020980835,set2,8.0,5.0,8.0,7.0,6.0,9.0,6.0,7.0,6.0,7.5,4.0,5.0,8.0,9.0,7.0,6.0
weapon,secret,6.059999942779541,set2,7.0,4.0,8.0,6.0,6.0,9.0,2.0,6.0,3.0,6.0,5.0,6.0,8.0,9.0,7.0,5.0
FBI,fingerprint,6.940000057220459,set2,8.0,6.0,8.0,5.0,5.0,9.0,7.0,7.0,6.0,6.0,6.0,8.0,9.0,7.0,6.0,8.0
FBI,investigation,8.3100004196167,set2,9.0,9.0,8.5,9.0,7.0,9.0,8.0,8.0,8.0,7.5,6.0,9.0,10.0,9.0,7.0,9.0
investigation,effort,4.590000152587891,set2,5.0,1.0,7.5,2.0,4.0,7.0,6.0,5.0,2.0,2.0,2.0,7.0,6.0,5.0,6.0,6.0
Mars,water,2.940000057220459,set2,2.0,1.0,3.0,2.0,1.0,8.0,0.0,4.0,2.0,6.0,1.0,1.0,3.0,0.0,5.0,8.0
Mars,scientist,5.630000114440918,set2,8.0,1.0,7.0,4.0,6.0,8.0,1.0,6.0,5.0,6.0,2.0,9.0,7.0,5.0,7.0,8.0
news,report,8.15999984741211,set2,9.0,6.0,8.5,8.0,7.0,9.0,7.0,8.0,7.0,8.0,7.0,9.0,10.0,9.0,9.0,9.0
canyon,landscape,7.53000020980835,set2,9.0,7.5,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,6.0,9.0,8.0,6.0,8.0,9.0
image,surface,4.559999942779541,set2,7.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,7.0,7.0,8.0,6.0
discovery,space,6.340000152587891,set2,8.0,2.0,7.5,9.0,5.0,7.0,4.0,7.0,5.0,6.0,5.0,7.0,8.0,8.0,7.0,6.0
water,seepage,6.559999942779541,set2,8.0,7.0,9.0,7.0,7.0,8.0,7.0,6.0,0.0,6.0,1.0,8.0,7.0,8.0,8.0,8.0
sign,recess,2.380000114440918,set2,4.0,1.0,2.0,4.0,5.0,4.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0
Wednesday,news,2.2200000286102295,set2,4.0,1.0,4.0,2.0,3.0,6.0,2.0,3.0,0.5,0.0,1.0,1.0,0.0,1.0,4.0,3.0
mile,kilometer,8.65999984741211,set2,9.0,9.5,9.0,8.0,9.0,8.0,9.0,9.0,8.5,7.5,8.0,8.0,10.0,8.0,9.0,9.0
computer,news,4.46999979019165,set2,5.0,1.0,7.0,6.0,5.0,5.0,1.0,4.0,6.5,4.0,2.0,5.0,3.0,7.0,6.0,4.0
territory,surface,5.340000152587891,set2,6.0,2.0,8.5,4.0,7.0,7.0,8.0,4.0,2.0,6.0,6.0,5.0,6.0,2.0,8.0,4.0
atmosphere,landscape,3.690000057220459,set2,7.0,0.0,2.0,1.0,8.0,7.0,1.0,5.0,2.0,0.0,2.0,5.0,6.0,1.0,7.0,5.0
president,medal,3.0,set2,5.0,2.0,1.0,3.0,6.0,6.0,1.0,7.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,4.0
war,troops,8.130000114440918,set2,8.0,8.5,9.0,9.0,8.0,8.0,8.0,8.0,6.0,7.5,8.0,8.0,9.0,8.0,9.0,8.0
record,number,6.309999942779541,set2,8.0,6.0,8.0,5.0,7.0,7.0,3.0,4.0,5.0,8.0,5.0,8.0,8.0,5.0,8.0,6.0
skin,eye,6.21999979019165,set2,7.0,9.0,7.0,3.0,6.0,6.0,7.0,7.0,6.0,7.5,5.0,6.0,8.0,2.0,8.0,5.0
Japanese,American,6.5,set2,7.0,6.0,8.5,6.0,6.0,4.0,8.0,7.0,7.0,7.5,5.0,8.0,9.0,1.0,8.0,6.0
theater,history,3.9100000858306885,set2,5.0,6.0,6.0,4.0,5.0,3.0,0.0,3.0,6.5,6.0,1.0,5.0,1.0,1.0,7.0,3.0
volunteer,motto,2.559999942779541,set2,2.0,5.0,1.0,1.0,4.0,2.0,0.0,3.0,3.0,0.0,4.0,7.0,0.0,3.0,4.0,2.0
prejudice,recognition,3.0,set2,7.0,4.0,2.0,1.0,6.0,2.0,4.0,5.0,1.0,0.0,6.0,5.0,0.0,0.0,3.0,2.0
decoration,valor,5.630000114440918,set2,6.0,8.0,7.0,8.0,8.0,2.0,2.0,9.0,5.0,0.0,7.0,8.0,9.0,1.0,8.0,2.0
century,year,7.590000152587891,set2,8.0,9.0,8.0,9.0,7.0,6.0,8.0,8.0,7.0,7.5,7.0,9.0,8.0,5.0,9.0,6.0
century,nation,3.1600000858306885,set2,5.0,0.0,7.5,5.0,4.0,4.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,8.0,3.0
delay,racism,1.190000057220459,set2,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0
delay,news,3.309999942779541,set2,7.0,4.0,3.0,1.0,6.0,5.0,6.0,4.0,4.0,0.0,1.0,4.0,3.0,0.0,3.0,2.0
